season,opponent,result,pace,ppp,oppp,efg,oefg,to,oto,or,oor,ft,oft,LABEL
2016,NC State,W,62,1.08,0.89,41.7,43.6,14.5,29.1,51.2,50,28.8,18.2,
2016,UNC-G,W,69,1.4,0.92,60,51.8,14.5,21.8,55.2,25,33.9,19.3,
2016,Northwestern,W,67,1.19,1.03,50.8,51,13.4,17.9,40.6,18.8,30.6,36.5,
2016,Miami,W,68,1.41,1.04,60.4,47.5,13.2,16.1,55.9,34.1,18.1,44.1,
2016,Syracuse,W,69,1.23,1.06,54.9,50,13.1,18.9,32.3,37.8,32.8,19.1,
2016,Fairfield,W,77,1.2,0.85,56.1,43.1,13,24.8,36.8,32.6,48.5,23.1,
2016,Temple,W,70,1.29,0.95,56,46,12.8,11.3,39.5,20.9,34.3,27.4,
2016,Indiana,W,71,1.42,1.21,60.5,51.6,12.7,16.9,46.9,40.5,53.2,42.6,
2016,Wake Forest,W,80,1.03,0.85,40.4,41.8,12.4,23.6,36.7,34.8,46.6,29.9,
2016,NC State,W,66,1.21,1.03,50,41.5,12.1,15.1,47.2,39.5,22.1,26.1,
2016,UCLA,W,73,1.22,1.04,55.1,52.4,11,23.4,36.1,41,27.5,28.6,
2016,Notre Dame,W,57,1.54,1.3,65.4,64.3,10.5,12.3,56.5,20.8,46.1,28.6,
2016,Florida Gulf-Coast,W,70,1.19,0.96,47.3,44.8,10,20.1,39.1,39.5,26,41.4,
2016,Tulane,W,71,1.36,1.02,56.9,50.8,9.9,15.5,43.6,29.7,29.2,22.2,
2016,Virginia Tech,W,73,1.03,0.96,39.9,48,9.6,19.2,42.5,17.6,33.8,64,
2016,Texas,L,65,1.26,1.29,58,56.5,9.2,12.3,16.7,41,56,37.1,
2017,UVA,L,55,0.79,0.97,39.6,40.7,25.7,7.3,31.2,31.7,14.6,13.6,
2017,Georgia Tech,L,78,0.81,0.96,36.8,44.3,25.6,20.5,39.6,24.2,19.4,62.3,
2017,Arkansas,W,74,0.97,0.87,42.1,50,22.9,25.6,42.9,22.9,39.7,13.3,
2017,Clemson,W,70,1.13,1.09,51.3,53.7,22.8,15.2,51.1,26.3,15.4,27.9,
2017,Hawai'i,W,72,1.16,0.95,53.7,49.2,22.3,19.5,54.3,20.6,22.4,18.3,
2017,Kentucky,W,73,1.03,1,49.1,46.9,22,12.4,36.1,26.2,44.8,29.2,
2017,Oklahoma State,W,78,1.37,0.96,64.1,40.3,20.6,18,55.2,40.4,45.3,31.9,
